id,firstname,lastname,party,constituency,URI
20,Caoimhghín,Ó Caoláin,Sinn Fein,Cavan-Monaghan,http://www.kildarestreet.com/td/caoimhghin_o_caolain/cavan-monaghan
2,Éamon,Ó Cuív,Fianna Fail,Galway West,http://www.kildarestreet.com/td/eamon_o_cuiv/galway_west
21,Seán,Ó Fearghaíl,Fianna Fail,Kildare South,http://www.kildarestreet.com/td/sean_o_fearghail/kildare_south
322,Aodhán,Ó Ríordáin,Labour,Dublin North Central,http://www.kildarestreet.com/td/aodhan_o_riordain/dublin_north_central
5,Aengus,Ó Snodaigh,Sinn Fein,Dublin South Central,http://www.kildarestreet.com/td/aengus_o_snodaigh/dublin_south_central
342,Gerry,Adams,Sinn Fein,Louth,http://www.kildarestreet.com/td/gerry_adams/louth
28,James,Bannon,Fine Gael,Longford-Westmeath,http://www.kildarestreet.com/td/james_bannon/longford-westmeath
29,Seán,Barrett,Ceann Comhairle,Dún Laoghaire,http://www.kildarestreet.com/td/sean_barrett/dun_laoghaire
305,Tom,Barry,Fine Gael,Cork East,http://www.kildarestreet.com/td/tom_barry/cork_east
315,Richard,Boyd Barrett,People Before Profit Alliance,Dún Laoghaire,http://www.kildarestreet.com/td/richard_boyd_barrett/dun_laoghaire
39,Pat,Breen,Fine Gael,Clare,http://www.kildarestreet.com/td/pat_breen/clare
42,Tommy,Broughan,Labour,Dublin North East,http://www.kildarestreet.com/td/tommy_broughan/dublin_north_east
44,John,Browne,Fianna Fail,Wexford,http://www.kildarestreet.com/td/john_browne/wexford
46,Richard,Bruton,Fine Gael,Dublin North Central,http://www.kildarestreet.com/td/richard_bruton/dublin_north_central
49,Joan,Burton,Labour,Dublin West,http://www.kildarestreet.com/td/joan_burton/dublin_west
347,Ray,Butler,Fine Gael,Meath West,http://www.kildarestreet.com/td/ray_butler/meath_west
51,Jerry,Buttimer,Fine Gael,Cork South Central,http://www.kildarestreet.com/td/jerry_buttimer/cork_south_central
52,Catherine,Byrne,Fine Gael,Dublin South Central,http://www.kildarestreet.com/td/catherine_byrne/dublin_south_central
327,Eric,Byrne,Labour,Dublin South Central,http://www.kildarestreet.com/td/eric_byrne/dublin_south_central
56,Dara,Calleary,Fianna Fail,Mayo,http://www.kildarestreet.com/td/dara_calleary/mayo
58,Ciarán,Cannon,Fine Gael,Galway East,http://www.kildarestreet.com/td/ciaran_cannon/galway_east
59,Joe,Carey,Fine Gael,Clare,http://www.kildarestreet.com/td/joe_carey/clare
64,Paudie,Coffey,Fine Gael,Waterford,http://www.kildarestreet.com/td/paudie_coffey/waterford
309,Áine,Collins,Fine Gael,Cork North West,http://www.kildarestreet.com/td/aine_collins/cork_north_west
329,Joan,Collins,People Before Profit Alliance,Dublin South Central,http://www.kildarestreet.com/td/joan_collins/dublin_south_central
67,Niall,Collins,Fianna Fail,Limerick,http://www.kildarestreet.com/td/niall_collins/limerick
350,Michael,Colreavy,Sinn Fein,Sligo-North Leitrim,http://www.kildarestreet.com/td/michael_colreavy/sligo-north_leitrim
328,Michael,Conaghan,Labour,Dublin South Central,http://www.kildarestreet.com/td/michael_conaghan/dublin_south_central
302,Seán,Conlan,Fine Gael,Cavan-Monaghan,http://www.kildarestreet.com/td/sean_conlan/cavan-monaghan
362,Paul,Connaughton,Fine Gael,Galway East,http://www.kildarestreet.com/td/paul_connaughton/galway_east
352,Ciara,Conway,Labour,Waterford,http://www.kildarestreet.com/td/ciara_conway/waterford
72,Noel,Coonan,Fine Gael,Tipperary North,http://www.kildarestreet.com/td/noel_coonan/tipperary_north
354,Marcella,Corcoran Kennedy,Fine Gael,Laois-Offaly,http://www.kildarestreet.com/td/marcella_corcoran_kennedy/laois-offaly
74,Joe,Costello,Labour,Dublin Central,http://www.kildarestreet.com/td/joe_costello/dublin_central
76,Simon,Coveney,Fine Gael,Cork South Central,http://www.kildarestreet.com/td/simon_coveney/cork_south_central
355,Barry,Cowen,Fianna Fail,Laois-Offaly,http://www.kildarestreet.com/td/barry_cowen/laois-offaly
81,Michael,Creed,Fine Gael,Cork North West,http://www.kildarestreet.com/td/michael_creed/cork_north_west
83,Lucinda,Creighton,Independent,Dublin South East,http://www.kildarestreet.com/td/lucinda_creighton/dublin_south_east
84,Seán,Crowe,Sinn Fein,Dublin South West,http://www.kildarestreet.com/td/sean_crowe/dublin_south_west
321,Clare,Daly,Socialist Party,Dublin North,http://www.kildarestreet.com/td/clare_daly/dublin_north
310,Jim,Daly,Fine Gael,Cork South West,http://www.kildarestreet.com/td/jim_daly/cork_south_west
96,John,Deasy,Fine Gael,Waterford,http://www.kildarestreet.com/td/john_deasy/waterford
97,Jimmy,Deenihan,Fine Gael,Kerry North-West Limerick,http://www.kildarestreet.com/td/jimmy_deenihan/kerry_north-west_limerick
301,Pat,Deering,Fine Gael,Carlow-Kilkenny,http://www.kildarestreet.com/td/pat_deering/carlow-kilkenny
102,Pearse,Doherty,Sinn Fein,Donegal South West,http://www.kildarestreet.com/td/pearse_doherty/donegal_south_west
346,Regina,Doherty,Fine Gael,Meath East,http://www.kildarestreet.com/td/regina_doherty/meath_east
359,Stephen,Donnelly,Independent,Wicklow,http://www.kildarestreet.com/td/stephen_donnelly/wicklow
288,Paschal,Donohoe,Fine Gael,Dublin Central,http://www.kildarestreet.com/td/paschal_donohoe/dublin_central
103,Timmy,Dooley,Fianna Fail,Clare,http://www.kildarestreet.com/td/timmy_dooley/clare
318,Robert,Dowds,Labour,Dublin Mid West,http://www.kildarestreet.com/td/robert_dowds/dublin_mid_west
7,Andrew,Doyle,Fine Gael,Wicklow,http://www.kildarestreet.com/td/andrew_doyle/wicklow
14,Bernard,Durkan,Fine Gael,Kildare North,http://www.kildarestreet.com/td/bernard_durkan/kildare_north
324,Dessie,Ellis,Sinn Fein,Dublin North West,http://www.kildarestreet.com/td/dessie_ellis/dublin_north_west
106,Damien,English,Fine Gael,Meath West,http://www.kildarestreet.com/td/damien_english/meath_west
320,Alan,Farrell,Fine Gael,Dublin North,http://www.kildarestreet.com/td/alan_farrell/dublin_north
110,Frank,Feighan,Fine Gael,Roscommon-South Leitrim,http://www.kildarestreet.com/td/frank_feighan/roscommon-south_leitrim
357,Anne,Ferris,Labour,Wicklow,http://www.kildarestreet.com/td/anne_ferris/wicklow
111,Martin,Ferris,Sinn Fein,Kerry North-West Limerick,http://www.kildarestreet.com/td/martin_ferris/kerry_north-west_limerick
114,Frances,Fitzgerald,Fine Gael,Dublin Mid West,http://www.kildarestreet.com/td/frances_fitzgerald/dublin_mid_west
344,Peter,Fitzpatrick,Fine Gael,Louth,http://www.kildarestreet.com/td/peter_fitzpatrick/louth
118,Charles,Flanagan,Fine Gael,Laois-Offaly,http://www.kildarestreet.com/td/charles_flanagan/laois-offaly
351,Luke,Flanagan,Independent,Roscommon-South Leitrim,http://www.kildarestreet.com/td/luke_flanagan/roscommon-south_leitrim
119,Terence,Flanagan,Independent,Dublin North East,http://www.kildarestreet.com/td/terence_flanagan/dublin_north_east
120,Seán,Fleming,Fianna Fail,Laois-Offaly,http://www.kildarestreet.com/td/sean_fleming/laois-offaly
337,Tom,Fleming,Independent,Kerry South,http://www.kildarestreet.com/td/tom_fleming/kerry_south
123,Eamon,Gilmore,Labour,Dún Laoghaire,http://www.kildarestreet.com/td/eamon_gilmore/dun_laoghaire
128,Noel,Grealish,Independent,Galway West,http://www.kildarestreet.com/td/noel_grealish/galway_west
338,Brendan,Griffin,Fine Gael,Kerry South,http://www.kildarestreet.com/td/brendan_griffin/kerry_south
353,John,Halligan,Independent,Waterford,http://www.kildarestreet.com/td/john_halligan/waterford
132,Dominic,Hannigan,Labour,Meath East,http://www.kildarestreet.com/td/dominic_hannigan/meath_east
311,Noel,Harrington,Fine Gael,Cork South West,http://www.kildarestreet.com/td/noel_harrington/cork_south_west
358,Simon,Harris,Fine Gael,Wicklow,http://www.kildarestreet.com/td/simon_harris/wicklow
137,Brian,Hayes,Fine Gael,Dublin South West,http://www.kildarestreet.com/td/brian_hayes/dublin_south_west
139,Tom,Hayes,Fine Gael,Tipperary South,http://www.kildarestreet.com/td/tom_hayes/tipperary_south
140,Séamus,Healy,Independent,Tipperary South,http://www.kildarestreet.com/td/seamus_healy/tipperary_south
336,Michael,Healy-Rae,Independent,Kerry South,http://www.kildarestreet.com/td/michael_healy-rae/kerry_south
298,Martin,Heydon,Fine Gael,Kildare South,http://www.kildarestreet.com/td/martin_heydon/kildare_south
145,Joe,Higgins,Socialist Party,Dublin West,http://www.kildarestreet.com/td/joe_higgins/dublin_west
148,Phil,Hogan,Fine Gael,Carlow-Kilkenny,http://www.kildarestreet.com/td/phil_hogan/carlow-kilkenny
149,Brendan,Howlin,Labour,Wexford,http://www.kildarestreet.com/td/brendan_howlin/wexford
303,Heather,Humphreys,Fine Gael,Cavan-Monaghan,http://www.kildarestreet.com/td/heather_humphreys/cavan-monaghan
330,Kevin,Humphreys,Labour,Dublin South East,http://www.kildarestreet.com/td/kevin_humphreys/dublin_south_east
319,Derek,Keating,Fine Gael,Dublin Mid West,http://www.kildarestreet.com/td/derek_keating/dublin_mid_west
333,Colm,Keaveney,Fianna Fail,Galway East,http://www.kildarestreet.com/td/colm_keaveney/galway_east
152,Paul,Kehoe,Fine Gael,Wexford,http://www.kildarestreet.com/td/paul_kehoe/wexford
17,Billy,Kelleher,Fianna Fail,Cork North Central,http://www.kildarestreet.com/td/billy_kelleher/cork_north_central
287,Alan,Kelly,Labour,Tipperary North,http://www.kildarestreet.com/td/alan_kelly/tipperary_north
156,Enda,Kenny,Fine Gael,Mayo,http://www.kildarestreet.com/td/enda_kenny/mayo
323,Seán,Kenny,Labour,Dublin North East,http://www.kildarestreet.com/td/sean_kenny/dublin_north_east
160,Séamus,Kirk,Fianna Fail,Louth,http://www.kildarestreet.com/td/seamus_kirk/louth
161,Michael,Kitt,Fianna Fail,Galway East,http://www.kildarestreet.com/td/michael_kitt/galway_east
361,Seán,Kyne,Fine Gael,Galway West,http://www.kildarestreet.com/td/sean_kyne/galway_west
339,Anthony,Lawlor,Fine Gael,Kildare North,http://www.kildarestreet.com/td/anthony_lawlor/kildare_north
166,Michael,Lowry,Independent,Tipperary North,http://www.kildarestreet.com/td/michael_lowry/tipperary_north
168,Ciarán,Lynch,Labour,Cork South Central,http://www.kildarestreet.com/td/ciaran_lynch/cork_south_central
169,Kathleen,Lynch,Labour,Cork North Central,http://www.kildarestreet.com/td/kathleen_lynch/cork_north_central
325,John,Lyons,Labour,Dublin North West,http://www.kildarestreet.com/td/john_lyons/dublin_north_west
312,Pádraig,MacLochlainn,Sinn Fein,Donegal North East,http://www.kildarestreet.com/td/padraig_maclochlainn/donegal_north_east
332,Eamonn,Maloney,Labour,Dublin South West,http://www.kildarestreet.com/td/eamonn_maloney/dublin_south_west
172,Micheál,Martin,Fianna Fail,Cork South Central,http://www.kildarestreet.com/td/micheal_martin/cork_south_central
326,Peter,Mathews,Independent,Dublin South,http://www.kildarestreet.com/td/peter_mathews/dublin_south
173,Michael,McCarthy,Labour,Cork South West,http://www.kildarestreet.com/td/michael_mccarthy/cork_south_west
313,Charlie,McConalogue,Fianna Fail,Donegal North East,http://www.kildarestreet.com/td/charlie_mcconalogue/donegal_north_east
317,Mary Lou,McDonald,Sinn Fein,Dublin Central,http://www.kildarestreet.com/td/mary_lou_mcdonald/dublin_central
399,Helen,McEntee,Fine Gael,Meath East,http://www.kildarestreet.com/td/helen_mcentee/meath_east
183,Dinny,McGinley,Fine Gael,Donegal South West,http://www.kildarestreet.com/td/dinny_mcginley/donegal_south_west
184,Finian,McGrath,Independent,Dublin North Central,http://www.kildarestreet.com/td/finian_mcgrath/dublin_north_central
185,Mattie,McGrath,Independent,Tipperary South,http://www.kildarestreet.com/td/mattie_mcgrath/tipperary_south
186,Michael,McGrath,Fianna Fail,Cork South Central,http://www.kildarestreet.com/td/michael_mcgrath/cork_south_central
188,John,McGuinness,Fianna Fail,Carlow-Kilkenny,http://www.kildarestreet.com/td/john_mcguinness/carlow-kilkenny
189,Joe,McHugh,Fine Gael,Donegal North East,http://www.kildarestreet.com/td/joe_mchugh/donegal_north_east
306,Sandra,McLellan,Sinn Fein,Cork East,http://www.kildarestreet.com/td/sandra_mclellan/cork_east
349,Tony,McLoughlin,Fine Gael,Sligo-North Leitrim,http://www.kildarestreet.com/td/tony_mcloughlin/sligo-north_leitrim
304,Michael,McNamara,Labour,Clare,http://www.kildarestreet.com/td/michael_mcnamara/clare
194,Olivia,Mitchell,Fine Gael,Dublin South,http://www.kildarestreet.com/td/olivia_mitchell/dublin_south
316,Mary,Mitchell O'Connor,Fine Gael,Dún Laoghaire,http://www.kildarestreet.com/td/mary_mitchell_o%27connor/dun_laoghaire
200,Michael,Moynihan,Fianna Fail,Cork North West,http://www.kildarestreet.com/td/michael_moynihan/cork_north_west
345,Michelle,Mulherin,Fine Gael,Mayo,http://www.kildarestreet.com/td/michelle_mulherin/mayo
204,Catherine,Murphy,Independent,Kildare North,http://www.kildarestreet.com/td/catherine_murphy/kildare_north
308,Dara,Murphy,Fine Gael,Cork North Central,http://www.kildarestreet.com/td/dara_murphy/cork_north_central
331,Eoghan,Murphy,Fine Gael,Dublin South East,http://www.kildarestreet.com/td/eoghan_murphy/dublin_south_east
343,Gerald,Nash,Labour,Louth,http://www.kildarestreet.com/td/gerald_nash/louth
206,Denis,Naughten,Independent,Roscommon-South Leitrim,http://www.kildarestreet.com/td/denis_naughten/roscommon-south_leitrim
207,Dan,Neville,Fine Gael,Limerick,http://www.kildarestreet.com/td/dan_neville/limerick
334,Derek,Nolan,Labour,Galway West,http://www.kildarestreet.com/td/derek_nolan/galway_west
209,Michael,Noonan,Fine Gael,Limerick City,http://www.kildarestreet.com/td/michael_noonan/limerick_city
307,Jonathan,O'Brien,Sinn Fein,Cork North Central,http://www.kildarestreet.com/td/jonathan_o%27brien/cork_north_central
214,Willie,O'Dea,Fianna Fail,Limerick City,http://www.kildarestreet.com/td/willie_o%27dea/limerick_city
215,Kieran,O'Donnell,Fine Gael,Limerick City,http://www.kildarestreet.com/td/kieran_o%27donnell/limerick_city
340,Patrick,O'Donovan,Fine Gael,Limerick,http://www.kildarestreet.com/td/patrick_o%27donovan/limerick
219,Fergus,O'Dowd,Fine Gael,Louth,http://www.kildarestreet.com/td/fergus_o%27dowd/louth
225,John,O'Mahony,Fine Gael,Mayo,http://www.kildarestreet.com/td/john_o%27mahony/mayo
229,Joe,O'Reilly,Fine Gael,Cavan-Monaghan,http://www.kildarestreet.com/td/joe_o%27reilly/cavan-monaghan
233,Jan,O'Sullivan,Labour,Limerick City,http://www.kildarestreet.com/td/jan_o%27sullivan/limerick_city
294,Maureen,O'Sullivan,Independent,Dublin Central,http://www.kildarestreet.com/td/maureen_o%27sullivan/dublin_central
239,Willie,Penrose,Labour,Longford-Westmeath,http://www.kildarestreet.com/td/willie_penrose/longford-westmeath
240,John,Perry,Fine Gael,Sligo-North Leitrim,http://www.kildarestreet.com/td/john_perry/sligo-north_leitrim
300,Ann,Phelan,Labour,Carlow-Kilkenny,http://www.kildarestreet.com/td/ann_phelan/carlow-kilkenny
290,John Paul,Phelan,Fine Gael,Carlow-Kilkenny,http://www.kildarestreet.com/td/john_paul_phelan/carlow-kilkenny
314,Thomas,Pringle,Independent,Donegal South West,http://www.kildarestreet.com/td/thomas_pringle/donegal_south_west
238,Ruairi,Quinn,Labour,Dublin South East,http://www.kildarestreet.com/td/ruairi_quinn/dublin_south_east
282,Pat,Rabbitte,Labour,Dublin South West,http://www.kildarestreet.com/td/pat_rabbitte/dublin_south_west
241,James,Reilly,Fine Gael,Dublin North,http://www.kildarestreet.com/td/james_reilly/dublin_north
242,Michael,Ring,Fine Gael,Mayo,http://www.kildarestreet.com/td/michael_ring/mayo
244,Shane,Ross,Independent,Dublin South,http://www.kildarestreet.com/td/shane_ross/dublin_south
245,Brendan ,Ryan,Labour,Dublin North,http://www.kildarestreet.com/td/brendan__ryan/dublin_north
6,Alan,Shatter,Fine Gael,Dublin South,http://www.kildarestreet.com/td/alan_shatter/dublin_south
256,Seán,Sherlock,Labour,Cork East,http://www.kildarestreet.com/td/sean_sherlock/cork_east
257,Róisín,Shortall,Independent,Dublin North West,http://www.kildarestreet.com/td/roisin_shortall/dublin_north_west
258,Brendan,Smith,Fianna Fail,Cavan-Monaghan,http://www.kildarestreet.com/td/brendan_smith/cavan-monaghan
335,Arthur,Spring,Labour,Kerry North-West Limerick,http://www.kildarestreet.com/td/arthur_spring/kerry_north-west_limerick
260,Emmet,Stagg,Labour,Kildare North,http://www.kildarestreet.com/td/emmet_stagg/kildare_north
356,Brian,Stanley,Sinn Fein,Laois-Offaly,http://www.kildarestreet.com/td/brian_stanley/laois-offaly
261,David,Stanton,Fine Gael,Cork East,http://www.kildarestreet.com/td/david_stanton/cork_east
348,Peadar,Tóibín,Sinn Fein,Meath West,http://www.kildarestreet.com/td/peadar_toibin/meath_west
18,Billy,Timmins,Independent,Wicklow,http://www.kildarestreet.com/td/billy_timmins/wicklow
341,Robert,Troy,Fianna Fail,Longford-Westmeath,http://www.kildarestreet.com/td/robert_troy/longford-westmeath
264,Joanna,Tuffy,Labour,Dublin Mid West,http://www.kildarestreet.com/td/joanna_tuffy/dublin_mid_west
265,Liam,Twomey,Fine Gael,Wexford,http://www.kildarestreet.com/td/liam_twomey/wexford
267,Leo,Varadkar,Fine Gael,Dublin West,http://www.kildarestreet.com/td/leo_varadkar/dublin_west
269,Jack,Wall,Labour,Kildare South,http://www.kildarestreet.com/td/jack_wall/kildare_south
299,Mick,Wallace,Independent,Wexford,http://www.kildarestreet.com/td/mick_wallace/wexford
360,Brian,Walsh,Independent,Galway West,http://www.kildarestreet.com/td/brian_walsh/galway_west
275,Alex,White,Labour,Dublin South,http://www.kildarestreet.com/td/alex_white/dublin_south
